id,name,type,humanReadableCardType,frameType,desc,archetype,cardmarket_price,tcgplayer_price,ebay_price,amazon_price,coolstuffinc_price
21846145,Abduction,Trap Card,Normal Trap,trap,"Target 1 face-up monster your opponent controls; banish 1 monster from your Deck or Extra Deck with the same original Type, Attribute, and Level/Rank/Link Rating, and if you do, take control of that targeted monster, and if you banished a monster with the same original name, that monster's effects are negated. You can only activate 1 ""Abduction"" per turn.",,0.1,0.11,0.0,0.0,0.0
80801743,Abominable Chamber of the Unchained,Trap Card,Normal Trap,trap,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",Unchained,0.55,0.67,0.99,0.98,0.25
27744077,Absolute End,Trap Card,Normal Trap,trap,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",,0.07,0.17,1.5,0.2,0.25
59057953,Abyss Actors Back Stage,Trap Card,Normal Trap,trap,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",Abyss Actor,0.07,0.1,0.99,0.45,0.25
4682617,Abyss Actors' Curtain Call,Trap Card,Normal Trap,trap,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Abyss Actor,0.03,0.09,0.99,1.0,0.25
97232518,Abyss Stungray,Trap Card,Continuous Trap,trap,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle.",,0.1,0.18,0.99,0.25,0.25
79206750,Abyss-scorn,Trap Card,Normal Trap,trap,"Target 1 ""Mermail"" monster you control; it gains 1000 ATK until the End Phase. When this Set card is sent to the Graveyard: Target 1 monster your opponent controls; send that target to the Graveyard.",Mermail,0.15,0.16,0.99,0.25,0.25
60202749,Abyss-sphere,Trap Card,Continuous Trap,trap,"Special Summon 1 ""Mermail"" monster from your Deck. Its effects are negated. You cannot activate any Spell Cards. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation.",Mermail,6.7,10.08,4.15,17.99,0.0
34707034,Abyss-squall,Trap Card,Normal Trap,trap,"Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Mermail,0.8,0.45,2.29,1.38,0.49
63941169,Abyss-steam,Trap Card,Normal Trap,trap,"Draw cards equal to the number of different Monster Types among the monsters you control that are Fish, Sea Serpent, or Aqua monsters, also until the end of your next turn after this card resolves, you cannot Special Summon from the Extra Deck, except WATER monsters. If a face-up WATER monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; add 1 ""Mermail"" monster from your GY or banishment to your hand. You can only use each effect of ""Abyss-steam"" once per turn.",Abyss-,0.14,0.1,0.0,0.0,0.0
97697447,Abyss-strom,Trap Card,Normal Trap,trap,"Send 1 face-up ""Umi"" you control to the Graveyard; send all Spell and Trap Cards on the field to the Graveyard.",Umi,0.43,0.24,0.99,0.2,0.25
98444741,Accumulated Fortune,Trap Card,Normal Trap,trap,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,,1.28,0.88,1.5,0.49,0.49
41356845,Acid Trap Hole,Trap Card,Normal Trap,trap,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Hole,0.19,0.21,1.99,1.99,0.25
9341993,Adamancipator Relief,Trap Card,Normal Trap,trap,"Tribute any number of ""Adamancipator"" monsters, then target cards on the field equal to that number +1; destroy them.",Adamancipator,0.07,0.08,0.99,0.25,0.39
45730592,Adamancipator Resonance,Trap Card,Counter Trap,trap,"When a monster effect is activated, while you control an ""Adamancipator"" Synchro Monster: Negate the activation, and if you do, destroy it.",Adamancipator,0.06,0.07,2.0,0.25,0.25
62325062,Adhesion Trap Hole,Trap Card,Normal Trap,trap,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Hole,0.02,0.22,1.9,1.41,0.39
47060347,Aegis of Gaia,Trap Card,Continuous Trap,trap,"Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.",,0.17,0.15,9.99,0.75,0.49
7935043,Aegis of the Ocean Dragon Lord,Trap Card,Normal Trap,trap,"Until the End Phase, face-up Level 3 or lower WATER monsters you control cannot be destroyed by battle or by card effects.",,0.19,0.18,10.0,0.43,0.39
70875955,Aerial Recharge,Trap Card,Continuous Trap,trap,"Once per turn: You can Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). During each player's End Phase, Tribute 1 Token or ""Mecha Phantom Beast"" monster, or send this card to the Graveyard.",Mecha Phantom Beast,0.02,0.12,0.99,0.25,0.25
65384019,Alchemy Cycle,Trap Card,Normal Trap,trap,"The original ATK of all face-up monsters you control becomes 0, until the End Phase. Each time a monster that had its original ATK reduced to 0 by this effect is destroyed by battle and sent to the Graveyard, draw 1 card.",,0.05,0.1,0.99,0.25,0.25
17490535,Alien Brain,Trap Card,Normal Trap,trap,"When a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard: Take control of the opponent's monster, and if you do, it becomes Reptile-Type.",Alien,0.02,0.18,0.99,0.98,0.25
30834988,All-Out Attacks,Trap Card,Continuous Trap,trap,"If a monster(s) is Special Summoned while this card is face-up on the field: Change that monster to face-up Attack Position, and must attack, if able, during the turn they are Special Summoned.",,0.08,0.17,1.74,0.59,0.25
73355951,Alpha Summon,Trap Card,Normal Trap,trap,"Target 1 of your banished monsters and 1 of your opponent's banished monsters; Special Summon your monster to your opponent's field, and if you do, Special Summon that opponent's monster to your field. You can only activate 1 ""Alpha Summon"" per turn.",,0.1,0.03,3.0,0.0,0.25
21070956,Altar for Tribute,Trap Card,Normal Trap,trap,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.,,0.16,0.13,0.99,0.25,0.25
80143954,Altergeist Camouflage,Trap Card,Normal Trap,trap,"Target 1 ""Altergeist"" monster you control; equip this card to it. Your opponent cannot target it for attacks, but it does not prevent your opponent from attacking you directly. Negate an opponent's monster effect that activates by targeting the equipped monster. If an ""Altergeist"" card(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead.",Altergeist,0.12,0.22,1.99,0.49,0.25
86885905,Altergeist Emulatelf,Trap Card,Continuous Trap,trap,"Special Summon this card as an Effect Monster (Spellcaster/LIGHT/Level 4/ATK 1400/DEF 1800). (This card is also still a Trap.) If Summoned this way, while it is in the Monster Zone, other ""Altergeist"" Traps you control cannot be destroyed by card effects, also neither player can target them with card effects.",Altergeist,0.08,0.09,0.99,0.25,0.25
98753320,Altergeist Failover,Trap Card,Continuous Trap,trap,"If another card(s) you control is destroyed by an opponent's card effect (except during the Damage Step): You can Special Summon 1 ""Altergeist"" monster from your hand. You can banish this card from your GY, then target 1 ""Altergeist"" monster in your GY; add it to your hand. You can only use each effect of ""Altergeist Failover"" once per turn.",Altergeist,0.13,0.14,0.99,0.49,0.99
2547033,Altergeist Haunted Rock,Trap Card,Continuous Trap,trap,"If this card was Set by the effect of an ""Altergeist"" card, you can activate it the turn it was Set. When this card is activated: Send 1 ""Altergeist"" monster from your hand to the GY. When your opponent activates a Trap Card (except during the Damage Step): You can send 1 ""Altergeist"" monster from your hand to the GY; negate that effect, and if you do, destroy that card. You can only use each effect of ""Altergeist Haunted Rock"" once per turn.",Altergeist,0.12,0.16,0.99,0.25,0.25
35146019,Altergeist Manifestation,Trap Card,Normal Trap,trap,"Target 1 ""Altergeist"" monster in your GY; Special Summon it in Attack Position, and if you do, equip it with this card. When this card leaves the field, destroy that monster. You can banish this card from your GY, then target 1 ""Altergeist"" Trap in your GY; add it to your hand. You can only use this effect of ""Altergeist Manifestation"" once per turn.",Altergeist,0.05,0.13,0.99,0.64,0.49
27541563,Altergeist Protocol,Trap Card,Continuous Trap,trap,"The activation and effects of ""Altergeist"" cards activated on your field cannot be negated. When your opponent activates a monster effect: You can send 1 other face-up ""Altergeist"" card you control to the GY; negate the activation, and if you do, destroy it. You can only use this effect of ""Altergeist Protocol"" once per turn.",Altergeist,0.05,0.12,1.34,0.5,0.49
22024279,Altergeist Revitalization,Trap Card,Normal Trap,trap,"Target 1 ""Altergeist"" Link Monster in your GY; Special Summon it. You can banish this card from your GY; immediately after this effect resolves, Normal Summon 1 ""Altergeist"" monster. You can only use 1 ""Altergeist Revitalization"" effect per turn, and only once that turn.",Altergeist,0.15,0.09,0.0,0.0,0.25
66984907,Amaze Attraction Cyclo-Coaster,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 Spell/Trap your opponent controls; send both it and this card to the GY.
● Your opponent: Add 1 ""Amazement"" monster from your Deck to your hand, and if you do, send this card to the GY.
You can only use this effect of ""Amaze Attraction Cyclo-Coaster"" once per turn.",Attraction,0.35,0.48,1.48,1.67,0.99
92650018,Amaze Attraction Horror House,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 Effect Monster your opponent controls; negate its effects until the end of this turn.
● Your opponent: Change the equipped monster to face-down Defense Position.
You can only use this effect of ""Amaze Attraction Horror House"" once per turn.",Attraction,0.8,0.79,1.84,0.25,0.99
29867611,Amaze Attraction Majestic Merry-Go-Round,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can apply the following effect, based on which player controls the equipped monster;
● You: The equipped monster gains 500 ATK. If it would be destroyed by battle or card effect, you can send this card to the GY instead.
● Your opponent: The equipped monster loses 500 ATK for each of your ""Attraction"" Traps equipped to a monster(s).",Attraction,0.07,0.05,1.34,99.88,0.49
55262310,Amaze Attraction Rapid Racing,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Target 1 card in your opponent's GY; change the equipped monster's battle position, and if you do, shuffle that target into the Deck.
● Your opponent: Increase the equipped monster's Level by 1 (until the end of this turn), and if you do, change its battle position.
You can only use this effect of ""Amaze Attraction Rapid Racing"" once per turn.",Attraction,0.03,0.07,0.99,0.99,0.49
36591747,Amaze Attraction Thrill Train,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Change the equipped monster's battle position, then, your opponent chooses 1 ""Attraction"" Trap in your GY, and you Set it to your field.
● Your opponent: Banish the equipped monster until the End Phase.
You can only use this effect of ""Amaze Attraction Thrill Train"" once per turn.",Attraction,0.03,0.03,0.99,0.25,0.49
97182396,Amaze Attraction Viking Vortex,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: Once per turn, when an opponent's monster declares an attack: Negate the attack, and if you do, change control of the equipped monster until the end of the Battle Phase.
● Your opponent: When the equipped monster activates its effect: Return it to the hand.",Attraction,0.18,0.05,0.99,64.64,0.49
93473606,Amaze Attraction Wonder Wheel,Trap Card,Normal Trap,trap,"Target 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls; equip this card to it. You can activate the following effect, based on which player controls the equipped monster;
● You: During the Main Phase: Place 1 card from your hand on the bottom of the Deck, then draw 1 card.
● Your opponent: Switch the equipped monster's current ATK and DEF until the end of this turn.
You can only use this effect of ""Amaze Attraction Wonder Wheel"" once per turn.",Attraction,0.15,0.06,0.99,1.21,0.49
20989253,Amazement Family Faces,Trap Card,Normal Trap,trap,"Target 1 monster your opponent controls equipped with your ""Attraction"" Trap(s); equip this card to it. While this card is equipped to a monster, take control of the equipped monster. While you control the equipped monster, it gains 500 ATK, you cannot activate its effects, also it is treated as an ""Amazement"" monster. You can only activate 1 ""Amazement Family Faces"" per turn.",Amazement,0.11,0.19,0.99,8.27,0.49
67987611,Amazoness Archers,Trap Card,Normal Trap,trap,"When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip Effects are not activated), they lose 500 ATK, also they must attack this turn, if able.",Amazoness,0.09,0.23,2.95,1.75,0.49
25396150,Amazoness Hall,Trap Card,Continuous Trap,trap,"When this card is activated: You can take 1 ""Amazoness"" monster from your GY or your face-up Extra Deck, and either add it to your hand or (if it is a Pendulum Monster) place it in your Pendulum Zone. If a monster(s) is Special Summoned to your opponent's field while you control an ""Amazoness"" Monster Card (except during the Damage Step): You can target 1 of those opponent's monsters; gain LP equal to its ATK. You can only use this effect of ""Amazoness Hall"" once per turn.",Amazoness,0.13,0.11,0.99,0.49,0.39
62480168,Amazoness Hot Spring,Trap Card,Continuous Trap,trap,"When this card is activated: You can take 1 ""Amazoness"" monster from your Deck, and either add it to your hand or (if it is a Pendulum Monster) place it in your Pendulum Zone. When you take battle damage while you control an ""Amazoness"" Monster Card: You can gain LP equal to the damage you took. You can only use this effect of ""Amazoness Hot Spring"" once per turn.",Amazoness,0.16,0.25,1.5,3.06,0.39
83407038,Amazoness Onslaught,Trap Card,Continuous Trap,trap,"Once per turn, during the Battle Phase: You can Special Summon 1 ""Amazoness"" monster from your hand, and if you do, it gains 500 ATK until the end of this turn (even if this card leaves the field). After damage calculation, if your ""Amazoness"" monster battled an opponent's monster while this card is already face-up in your Spell & Trap Zone: You can banish that opponent's monster. If this card on the field is destroyed and sent to the GY: You can target 1 ""Amazoness"" monster in your GY; Special Summon it.",Amazoness,0.16,0.22,3.95,3.06,0.49
6459419,Amazoness Shamanism,Trap Card,Normal Trap,trap,"Destroy all face-up ""Amazoness"" monsters you control. Then, you can Special Summon any number of Level 4 or lower ""Amazoness"" monsters from your Graveyard in face-up Defense Position, up to the number of monsters destroyed by this effect.",Amazoness,0.18,0.09,1.75,1.3,1.99
22082163,Amazoness Willpower,Trap Card,Continuous Trap,trap,"Select 1 ""Amazoness"" monster in your Graveyard and Special Summon it in Attack Position. It cannot change its battle position and must attack if able. When this card is removed from the field, destroy that monster. When that monster is destroyed, destroy this card.",Amazoness,0.11,0.24,3.79,3.18,0.99
77972406,Ambush Fangs,Trap Card,Normal Trap,trap,"Activate only when a face-up ""Venom"" monster you control is declared as an attack target. Negate the attack and end the Battle Phase. Then place 1 Venom Counter on the monster that attacked.",Venom,0.12,0.2,0.99,0.49,0.39
47598941,Amorphage Lysis,Trap Card,Continuous Trap,trap,"All monsters on the field, except ""Amorphage"" monsters, lose 100 ATK and DEF for each ""Amorphage"" card on the field. If a card(s) in your Pendulum Zone is destroyed (except during the Damage Step): You can place 1 ""Amorphage"" Pendulum Monster from your Deck in your Pendulum Zone. You can only use this effect of ""Amorphage Lysis"" once per turn.",Amorphage,0.13,0.2,3.95,0.39,0.39
19763315,An Unfortunate Report,Trap Card,Normal Trap,trap,Your opponent conducts their next Battle Phase twice.,,0.22,0.41,0.99,0.99,0.25
53541822,Ancient Gear Duel,Trap Card,Continuous Trap,trap,"""Ancient Gear Golem"", and monsters that mention it, in your Monster Zone are unaffected by your opponent's activated monster effects. If your opponent controls a monster: You can Fusion Summon 1 Fusion Monster that mentions ""Ancient Gear Golem"" from your Extra Deck, by banishing monsters from your field or GY as material, including ""Ancient Gear Golem"" you control, and if you do, it can make up to 3 attacks during each Battle Phase. You can only use this effect of ""Ancient Gear Duel"" once per turn.",Ancient Gear,0.12,0.11,0.0,0.0,0.0
47482043,Ancient Gear Reborn,Trap Card,Continuous Trap,trap,"Once per turn, if you control no monsters: You can target 1 ""Ancient Gear"" monster in your Graveyard; Special Summon it, and if you do, it gains 200 ATK (even if this card leaves the field). You can only control 1 ""Ancient Gear Reborn"".",Ancient Gear,1.16,0.85,2.2,1.79,1.99
82255872,Ancient Warriors Saga - Chivalrous Path,Trap Card,Continuous Trap,trap,"If an ""Ancient Warriors"" monster(s) would be destroyed by battle, you can send this card to the GY instead. You can only use each of the following effects of ""Ancient Warriors Saga - Chivalrous Path"" once per turn. If your opponent Special Summons a monster(s) (except during the Damage Step): You can Special Summon 1 ""Ancient Warriors Token"" (Beast-Warrior/WIND/Level 1/ATK 500/DEF 500). When a card or effect is activated that targets an ""Ancient Warriors"" monster(s) on the field: You can banish this card from your GY; negate the activation.",Ancient Warriors,0.1,0.1,0.99,0.25,0.49
4810585,Ancient Warriors Saga - Defense of Changban,Trap Card,Continuous Trap,trap,"If your ""Ancient Warriors"" monster battles, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. You can only use 1 of the following effects of ""Ancient Warriors Saga - Defense of Changban"" per turn, and only once that turn.
● At the start of your opponent's Battle Phase: You can send this face-up card from your Spell & Trap Zone to the GY; monsters your opponent controls cannot target ""Ancient Warriors"" monsters for attacks this turn.
● When an opponent's monster declares an attack: You can banish this card from your GY; Special Summon 1 ""Ancient Warriors"" monster from your Deck.",Ancient Warriors,0.14,0.16,0.99,0.45,0.25
47594939,And the Band Played On,Trap Card,Continuous Trap,trap,Neither player can Special Summon monsters with the same Level as those they control. Neither player can Special Summon monsters with the same Rank as those they control.,,0.1,0.16,2.95,0.59,0.25
44822037,Angel Statue - Azurune,Trap Card,Continuous Trap,trap,"Special Summon this card as an Effect Monster (Fairy/LIGHT/Level 4/ATK 1800/DEF 1800). (This card is also still a Trap.) Once per turn, when your opponent would Special Summon a monster(s) while this card is in your Monster Zone: You can send to the GY, 1 Continuous Trap in your Monster Zone that was Special Summoned from the Spell & Trap Zone; negate the Summon, and if you do, destroy that monster(s). When this card in the Monster Zone is destroyed by battle: You can destroy the monster that destroyed this card.",Trap Monster,0.15,0.09,1.35,2.81,0.49
42364257,Anti Raigeki,Trap Card,Normal Trap,trap,"When your opponent activates ""Raigeki"": Negate its effect, and if you do, destroy all monsters your opponent controls.",Anti,0.3,0.63,3.29,1.99,0.99
72150572,Anti-Fusion Device,Trap Card,Normal Trap,trap,Destroy 1 face-up Fusion Monster on the field.,Anti,0.07,0.13,0.99,0.25,0.25
20138923,Anti-Magic Prism,Trap Card,Normal Trap,trap,Activate only when your opponent activates a Quick-Play Spell Card. Select 1 card on the field and destroy it.,Anti,0.07,0.08,0.99,0.25,0.25
53112492,Anti-Spell,Trap Card,Counter Trap,trap,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.,Anti,0.02,0.32,1.99,2.6,0.25
58921041,Anti-Spell Fragrance,Trap Card,Continuous Trap,trap,"Both players must Set Spell Cards before activating them, and cannot activate them until their next turn after Setting them.",Anti,0.02,0.1,1.99,1.56,0.49
25573115,Apex Predation,Trap Card,Normal Trap,trap,"If you control a Normal Summoned/Set monster: Destroy all Special Summoned monsters on the field. Until the end of your next turn after this card is activated, you cannot Normal Summon/Set. You can only activate 1 ""Apex Predation"" per turn.",,0.02,0.05,0.99,0.45,0.25
95561146,Apophis the Serpent,Trap Card,Continuous Trap,trap,"Special Summon this card as a Normal Monster (Reptile/EARTH/Level 4/ATK 1600/DEF 1800) (this card is also still a Trap), then you can Set 1 ""Apophis"" Trap from your Deck, except ""Apophis the Serpent"". It can be activated this turn. If this card is sent to the GY: You can add 1 ""Embodiment of Apophis"" from your Deck to your hand. You can only use each effect of ""Apophis the Serpent"" once per turn.",Apophis,4.93,3.17,0.0,0.0,0.0
85888377,Apophis the Swamp Deity,Trap Card,Continuous Trap,trap,"During the Main Phase: Special Summon this card as a Normal Monster (Reptile/EARTH/Level 6/ATK 2000/DEF 2200) (this card is also still a Trap), then, you can negate the effects of face-up cards your opponent controls, up to the number of other Continuous Traps you control, until the end of this turn.",Trap Monster,0.15,0.12,0.99,0.39,0.49
91392974,Apparition,Trap Card,Normal Trap,trap,"If a face-up ""HERO"" monster(s) you control is destroyed by battle or card effect: Special Summon 1 Level 4 or lower ""Vision HERO"" monster from your Deck, then you can halve the original ATK/DEF of 1 monster your opponent controls. You can only activate 1 ""Apparition"" per turn.",Vision HERO,0.08,0.12,0.99,5.17,0.25
43341600,Apple of Enlightenment,Trap Card,Normal Trap,trap,"Target cards in your opponent's GY, up to the number of ""Valkyrie"" monsters you control; banish them. If this Set card in its owner's control has left the field because of an opponent's effect, and is now in the GY or banished: You can draw cards equal to the number of ""Valkyrie"" monsters you control +1.",Valkyrie,0.1,0.15,0.99,0.6,0.49
43262273,Appointer of the Red Lotus,Trap Card,Normal Trap,trap,Pay 2000 Life Points and reveal all cards in your hand. Look at your opponent's hand and select 1 card. Remove that card from play until your opponent's next End Phase.,,0.15,0.22,3.49,1.49,1.99
48539234,Appropriate,Trap Card,Continuous Trap,trap,"Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time your opponent draws a card(s) outside of either Draw Phase, immediately draw 2 cards.",,0.02,0.17,1.5,0.93,0.25
95132338,Aqua Chorus,Trap Card,Continuous Trap,trap,"If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.",,0.05,0.2,3.99,9.27,0.79
28325165,Aqua Story - Urashima,Trap Card,Normal Trap,trap,"If you have an ""Aquaactress"" monster in your Graveyard: Target 1 monster on the field; until the end of this turn, its effects are negated, its ATK and DEF become 100, also it is unaffected by your opponent's card effects.",Aquaactress,0.05,0.11,0.99,0.25,0.25
78910579,Aquamirror Cycle,Trap Card,Normal Trap,trap,"Target 1 WATER monster you control and 2 WATER monsters in your Graveyard; shuffle the first target into the Deck, and if you do, add the second targets to your hand.",,0.02,0.11,0.99,0.25,0.25
64437633,Aquamirror Illusion,Trap Card,Normal Trap,trap,"Special Summon 1 ""Gishki"" Ritual Monster from your hand. It cannot attack, and is returned to the hand during the End Phase.",Gishki,2.6,0.38,3.0,0.25,0.39
46337945,Aquamirror Meditation,Trap Card,Normal Trap,trap,"Reveal 1 Ritual Spell Card in your hand to target 2 ""Gishki"" monsters in your Graveyard; return them to the hand.",Gishki,0.24,0.21,0.99,0.5,0.25
57964143,Arbitration of White,Trap Card,Continuous Trap,trap,"You can target 1 Fish monster you control; it is treated as a Tuner this turn. When an opponent's monster declares an attack: You can discard 1 Fish monster; change all monsters your opponent controls to Defense Position. If your Fish monster is destroyed by battle or sent to your GY: You can send this face-up card from your Spell & Trap Zone to the GY; Special Summon 1 Fish monster from your GY. You can only use each effect of ""Arbitration of White"" once per turn.",White,0.02,0.07,0.0,0.0,0.0
99189322,Arcana Call,Trap Card,Normal Trap,trap,"Select 1 ""Arcana Force"" monster you control. Remove from play 1 ""Arcana Force"" monster from either player's Graveyard. Until the End Phase, the selected monster's effect becomes the removed monster's effect for the same coin toss result.",Arcana Force,0.02,0.07,0.99,0.25,0.25
5168381,Archfiend's Ghastly Glitch,Trap Card,Normal Trap,trap,"If you control a Fiend monster: Target 1 card on the field; destroy it, then, you can send 1 Fiend monster from your Deck to the GY.",Archfiend,0.16,0.1,0.99,2.49,0.39
56246017,Archfiend's Roar,Trap Card,Normal Trap,trap,"Pay 500 Life Points, then target 1 ""Archfiend"" monster in your Graveyard; Special Summon that target. It cannot be Tributed. Destroy it during the End Phase of this turn.",Archfiend,0.09,0.14,0.99,0.99,0.39
65889305,Argostars - Lightning Tydeu,Trap Card,Continuous Trap,trap,"While this card is face-up in the Spell & Trap Zone, Warrior monsters you control gain 500 ATK/DEF. Once per turn: You can discard 1 card; Special Summon this card as an Effect Monster (Warrior/LIGHT/Level 4/ATK 2000/DEF 2000) with the following effect (this card is also still a Trap), then you can add 1 ""Argostars"" card from your Deck to your hand, except ""Argostars - Lightning Tydeu"".
● Once per turn (Quick Effect): You can place this card face-up in your Spell & Trap Zone.",Argostars,0.9,0.78,0.0,0.0,0.0
